39, State-gov, 77516, Bachelors, 13, Never-married, Adm-clerical, Not-in-family, White, Male, 2174, 0, 40, United-States, <=50K
38.0,,,,9.0, Divorced,, Not-in-family,, Male,0.0,0.0,40.0, United-States, <=50K
,,234721.0, 11th,7.0, Married-civ-spouse, Handlers-cleaners, Husband,, Male,,,, United-States, <=50K
, Private,338409.0,,13.0, Married-civ-spouse, Prof-specialty,,, Female,0.0,0.0,, Cuba, <=50K
37.0,,, Masters,14.0,, Exec-managerial,,,,,,40.0,,
49.0, Private,160187.0, 9th,5.0, Married-spouse-absent, Other-service,,, Female,,0.0,, Jamaica,
52.0,,209642.0, HS-grad,9.0, Married-civ-spouse,,, White, Male,,0.0,45.0, United-States, >50K
,,, Masters,14.0, Never-married,,, White,,14084.0,0.0,50.0, United-States, >50K
,,,,13.0,, Exec-managerial, Husband, White, Male,5178.0,0.0,,, >50K
37.0, Private,280464.0,,10.0, Married-civ-spouse, Exec-managerial, Husband, Black,,,0.0,80.0, United-States,
30.0,,141297.0,,, Married-civ-spouse, Prof-specialty, Husband, Asian-Pac-Islander, Male,0.0,0.0,, India,
,,122272.0, Bachelors,13.0, Never-married, Adm-clerical,,,,0.0,0.0,,,
,,205019.0, Assoc-acdm,, Never-married,, Not-in-family, Black,,0.0,,50.0,, <=50K
40.0,,,,11.0,, Craft-repair,, Asian-Pac-Islander,,0.0,0.0,,, >50K
34.0,,,,4.0, Married-civ-spouse, Transport-moving,,,,0.0,0.0,45.0, Mexico,
, Self-emp-not-inc,176756.0,,9.0, Never-married, Farming-fishing,, White, Male,0.0,,35.0, United-States, <=50K
32.0, Private,186824.0,,, Never-married, Machine-op-inspct, Unmarried,, Male,0.0,,40.0,, <=50K
, Private,28887.0,,, Married-civ-spouse, Sales, Husband, White, Male,,0.0,50.0,, <=50K
43.0,,, Masters,14.0, Divorced, Exec-managerial,, White, Female,0.0,0.0,, United-States,
40.0, Private,193524.0,,16.0, Married-civ-spouse, Prof-specialty,, White,,,,60.0, United-States,
,,302146.0,,, Separated, Other-service, Unmarried, Black,,,0.0,,, <=50K
35.0,,76845.0, 9th,5.0,,,, Black, Male,0.0,,40.0,,
